epoch,loss
1,6.78716
2,5.50079
3,5.02268
4,4.65833
5,4.35731
6,4.0881
7,3.8504
8,3.63232
9,3.46306
10,3.29131
11,3.13943
12,3.00162
13,2.86633
14,2.75386
15,2.67174
16,2.59011
17,2.49022
18,2.40615
19,2.32203
20,2.23947
21,2.18742
22,2.13758
23,2.0578
24,1.9795
25,1.90537
26,1.82943
27,1.76925
28,1.71289
29,1.6507
30,1.58854
31,1.54092
32,1.50096
33,1.44916
34,1.41844
35,1.37516
36,1.34049
37,1.3089
38,1.27718
39,1.24488
40,1.21124
41,1.1757
42,1.14064
43,1.12144
44,1.09458
45,1.07036
46,1.0528
47,1.03178
48,1.00665
49,0.986425
50,0.962655
51,0.944061
52,0.928762
53,0.915753
54,0.901575
55,0.89618
56,0.879854
57,0.874371
58,0.854455
59,0.855575
60,0.831543
61,0.825608
62,0.810885
63,0.803062
64,0.794917
65,0.790103
66,0.779773
67,0.759523
68,0.760646
69,0.755052
70,0.742627
71,0.734619
72,0.7312
73,0.728928
74,0.72662
75,0.715694
76,0.704449
77,0.697699
78,0.69212
79,0.683238
80,0.680769
81,0.676309
82,0.667846
83,0.663696
84,0.656219
85,0.64347
86,0.646441
87,0.654844
88,0.645611
89,0.637706
90,0.628988
91,0.626594
92,0.626356
93,0.62164
94,0.614869
95,0.608553
96,0.60532
97,0.604235
98,0.597104
99,0.5954
100,0.600367
